LocationID,Latitude,Longitude,Zone,Borough
141,0.041514464,7.67E-05,Lenox Hill West,Manhattan
142,0.038175894,7.57E-05,Lincoln Square East,Manhattan
143,0.054179854,0.000151094,Lincoln Square West,Manhattan
144,0.027620167,4.75E-05,Little Italy/NoLiTa,Manhattan
145,0.114313845,0.000346642,Long Island City/Hunters Point,Queens
146,0.047140522,0.000104639,Long Island City/Queens Plaza,Queens
147,0.058765495,0.000106418,Longwood,Bronx
148,0.039130502,6.97E-05,Lower East Side,Manhattan
149,0.083680582,0.00027064,Madison,Brooklyn
150,0.089331491,0.000332568,Manhattan Beach,Brooklyn
151,0.054889941,0.000128849,Manhattan Valley,Manhattan
152,0.057909477,0.000146638,Manhattanville,Manhattan
153,0.024737239,3.25E-05,Marble Hill,Manhattan
154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,Brooklyn
155,0.169808473,0.000868261,Marine Park/Mill Basin,Brooklyn
156,0.14447689,0.001052122,Mariners Harbor,Staten Island
157,0.131300218,0.00035437,Maspeth,Queens
158,0.054809991,0.000185568,Meatpacking/West Village West,Manhattan
159,0.064363233,0.000171249,Melrose South,Bronx
160,0.141519143,0.000571235,Middle Village,Queens
161,0.03580391,7.19E-05,Midtown Center,Manhattan
162,0.035269815,4.79E-05,Midtown East,Manhattan
163,0.034176867,4.09E-05,Midtown North,Manhattan
164,0.035771612,5.56E-05,Midtown South,Manhattan
165,0.088608036,0.000353959,Midwood,Brooklyn
166,0.068823754,0.000255276,Morningside Heights,Manhattan
167,0.090815974,0.000167529,Morrisania/Melrose,Bronx
168,0.114517434,0.000547058,Mott Haven/Port Morris,Bronx
169,0.060104658,0.000146028,Mount Hope,Bronx
170,0.045769009,7.43E-05,Murray Hill,Manhattan
171,0.107353876,0.0005201,Murray Hill-Queens,Queens
172,0.118476116,0.000658403,New Dorp/Midland Beach,Staten Island
173,0.060063966,0.00017833,North Corona,Queens
174,0.067817756,0.000155929,Norwood,Bronx
175,0.134897665,0.000504921,Oakland Gardens,Queens
176,0.151995191,0.000657782,Oakwood,Staten Island
177,0.071580541,0.000198895,Ocean Hill,Brooklyn
178,0.068252877,0.000175805,Ocean Parkway South,Brooklyn
179,0.071380864,0.000183893,Old Astoria,Queens
180,0.080527767,0.000247682,Ozone Park,Queens
181,0.08953724,0.00030689,Park Slope,Brooklyn
182,0.039360637,9.11E-05,Parkchester,Bronx
183,0.039826296,9.52E-05,Pelham Bay,Bronx
184,0.260815683,0.001988834,Pelham Bay Park,Bronx
185,0.086161968,0.000228537,Pelham Parkway,Bronx
186,0.02469639,3.71E-05,Penn Station/Madison Sq West,Manhattan
187,0.126868431,0.000421196,Port Richmond,Staten Island
188,0.097798397,0.000313003,Prospect-Lefferts Gardens,Brooklyn
189,0.048674331,0.000101428,Prospect Heights,Brooklyn
190,0.074329466,0.000270874,Prospect Park,Brooklyn
191,0.130932638,0.000688461,Queens Village,Queens
192,0.11196462,0.000373808,Queensboro Hill,Queens
193,0.065529958,0.000145592,Queensbridge/Ravenswood,Queens
194,0.081793835,0.000273482,Randalls Island,Manhattan
195,0.131308244,0.000801652,Red Hook,Brooklyn
196,0.083242111,0.000197471,Rego Park,Queens
197,0.108568532,0.000504689,Richmond Hill,Queens
198,0.134094243,0.00049981,Ridgewood,Queens
199,0.077808501,0.000288748,Rikers Island,Bronx
200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,Bronx
201,0.130404118,0.000619351,Rockaway Park,Queens
202,0.069921571,0.000106175,Roosevelt Island,Manhattan
203,0.189937816,0.00061513,Rosedale,Queens
204,0.101912418,0.000641384,Rossville/Woodrow,Staten Island
205,0.141953388,0.000766217,Saint Albans,Queens
206,0.212756793,0.000944393,Saint George/New Brighton,Staten Island
207,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,Queens
208,0.21472101,0.002020326,Schuylerville/Edgewater Park,Bronx
209,0.030695311,3.89E-05,Seaport,Manhattan
210,0.114851983,0.000453155,Sheepshead Bay,Brooklyn
211,0.025234508,3.97E-05,SoHo,Manhattan
212,0.067129065,0.000161276,Soundview/Bruckner,Bronx
213,0.159958784,0.000904078,Soundview/Castle Hill,Bronx
214,0.135300314,0.000811977,South Beach/Dongan Hills,Staten Island
215,0.103556454,0.000395647,South Jamaica,Queens
216,0.116797555,0.000816077,South Ozone Park,Queens
217,0.055390525,0.000114733,South Williamsburg,Brooklyn
218,0.083700828,0.000281294,Springfield Gardens North,Queens
